id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
206;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
207;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
208;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
209;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
210;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
211;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
212;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Samambaia;yes;-;-
213;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
214;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
215;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
216;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
217;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
218;-;-;-;-;-;service;-;-;-;-;-;-;yes;-;-
219;-;-;-;-;-;service;-;-;-;-;-;-;yes;-;-
220;-;-;-;-;-;track;-;-;-;-;-;-;-;-;unpaved
221;-;-;-;-;-;service;-;-;-;-;-;-;-;-;-
222;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
223;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
224;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
225;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
226;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
227;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
228;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
229;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
230;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
231;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
232;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
233;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
234;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
235;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
236;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
237;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
238;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
239;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
240;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
241;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
242;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
243;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
244;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
245;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
246;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
247;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
248;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
249;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
250;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
251;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
252;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
253;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
254;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
255;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
256;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
257;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
258;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
259;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
260;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
261;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
262;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
263;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
264;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
265;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
266;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
267;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
268;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
269;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
270;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
271;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
272;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
273;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
274;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
275;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
276;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
277;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
278;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
279;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
280;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
281;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
282;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
283;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
284;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
285;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
286;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
287;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
288;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
289;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
290;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
291;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
