id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
195;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
196;-;-;-;-;-;residential;-;-;-;-;-;Rua r-031;no;-;-
197;-;-;-;-;-;residential;-;-;-;-;-;Rua r-031;no;-;-
198;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
199;-;-;-;-;-;residential;-;-;-;-;-;Rua r-029;no;-;-
200;-;-;-;-;-;tertiary;-;-;-;-;-;Rua 2;-;-;-
201;-;-;-;-;-;tertiary;-;-;-;-;-;Rua 2;-;-;-
202;-;-;-;-;-;tertiary;-;-;-;-;-;Rua 2;-;-;-
203;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;yes;-;-
204;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;-;-;-
205;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
206;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
207;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
208;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
209;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
210;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
211;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
212;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
213;-;-;-;-;-;secondary;-;roundabout;-;-;-;Alameda Flamboyant;-;-;-
214;-;-;-;-;-;tertiary_link;-;-;-;-;-;Alameda Flamboyant;yes;-;-
215;-;-;-;-;-;tertiary_link;-;-;-;-;-;Alameda Flamboyant;yes;-;-
216;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
217;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
218;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
219;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
220;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
221;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
